observations,centile,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
41,0.05,AnnArbor_b_sub59573,2.2347254977178155,1.9781763480914853,2.0328053725905275,2.3927719741601585,2.4314481577742675
41,0.25,AnnArbor_b_sub59573,2.4004848257253038,2.135746596469208,2.1776025051801398,2.5540053493660997,2.633484141783867
41,0.5,AnnArbor_b_sub59573,2.515702395565474,2.245272022974152,2.278249472909437,2.666076976897779,2.7739172346159133
41,0.75,AnnArbor_b_sub59573,2.6309199654056417,2.354797449479097,2.378896440638735,2.7781486044294583,2.914350327447961
41,0.95,AnnArbor_b_sub59573,2.79667929341313,2.512367697856821,2.523693573228347,2.9393819796353986,3.1163863114575605
42,0.05,AnnArbor_b_sub62819,2.006230910197131,1.9638634223104698,1.907566221825062,2.259334810601514,2.166252148318447
42,0.25,AnnArbor_b_sub62819,2.1829658290334857,2.151702249958894,2.0470751133681855,2.396746200240682,2.3661893497670294
42,0.5,AnnArbor_b_sub62819,2.305812416908795,2.282267048353227,2.144046280227453,2.492259415532375,2.505163600860212
42,0.75,AnnArbor_b_sub62819,2.4286590047841052,2.41283184674756,2.2410174470867195,2.5877726308240687,2.6441378519533942
42,0.95,AnnArbor_b_sub62819,2.60539392362046,2.6006706743959853,2.380526338629841,2.7251840204632374,2.844075053401976
43,0.05,AnnArbor_b_sub64831,2.2277480389907773,1.9872435152162489,2.0298486930158175,2.414129003006339,2.4032839764108784
43,0.25,AnnArbor_b_sub64831,2.3935073669982665,2.1448137635939744,2.1746458256054297,2.575362378212281,2.605319960420478
43,0.5,AnnArbor_b_sub64831,2.5087249368384357,2.254339190098919,2.2752927933347276,2.68743400574396,2.7457530532525247
43,0.75,AnnArbor_b_sub64831,2.623942506678604,2.3638646166038635,2.3759397610640254,2.799505633275639,2.8861861460845706
