observations,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
39,AnnArbor_b_sub57025,-1.0485972533813137,-1.0489856651818448,-1.3133613729859046,-1.6869622236935287,-1.0403779640790685
40,AnnArbor_b_sub57196,-2.0053266368701856,-0.9002449914816913,-1.2815312566705905,-2.3676080422704744,-3.8687117951111567
41,AnnArbor_b_sub59573,-0.9115904041352748,-0.9128663599928075,-0.7913901663349919,-4.017680663935477,-2.0893823720310563
42,AnnArbor_b_sub62819,-1.6590323364172679,-1.062041811393553,-0.8765555878610936,-0.6913186700822094,-1.0613853165018008
43,AnnArbor_b_sub64831,-2.357549475268272,-0.909142131736797,-1.314288071428006,-1.402770251502068,-0.9824212670241641
44,AnnArbor_b_sub64969,-1.2772793555791029,-1.102727872489662,-0.7320131134533291,-1.0320032286863317,-0.9090851514042738
45,AnnArbor_b_sub66506,-1.797519932786605,-0.8523871334731489,-1.8810909508191878,-1.2527461410917948,-1.4654816426310502
46,AnnArbor_b_sub72215,-0.8374904609027907,-1.4832923059062966,-1.4087993513496735,-2.952985630356936,-1.0212327793043785
47,AnnArbor_b_sub73168,-1.3081919054016429,-0.8801419477455059,-1.4122335747900612,-0.8663471637706694,-2.049251511325678
48,AnnArbor_b_sub73812,-1.9939911758257873,-3.179522031166084,-0.8368607887019854,-1.1186111161292593,-1.912990996881774
49,AnnArbor_b_sub78151,-2.0829725993524124,-0.9913750422898309,-1.2289690571214156,-0.8219853967627028,-0.8478339238560929
50,AnnArbor_b_sub85257,-0.8381472474489909,-0.9235266819318217,-0.6938210337281291,-0.818902820580701,-0.8128355650206203
51,AnnArbor_b_sub90127,-2.0428071462124646,-1.3195698136657432,-1.446699725249587,-0.7551218865499303,-1.7280950748513773
52,AnnArbor_b_sub90950,-3.680913624497138,-1.1252895728224288,-0.7110468328368814,-0.8004283118882843,-2.9735330721068665
53,AnnArbor_b_sub97518,-0.8540266271647685,-0.8847792421279437,-0.7039684985096756,-0.9318837521377024,-0.8940562650240231
54,AnnArbor_b_sub98007,-1.0338175499698292,-5.36146056317525,-3.069296391100703,-4.96882438788061,-0.8989989256555091
55,AnnArbor_b_sub99692,-1.009780229849556,-2.1545694144585235,-1.7289594392130943,-0.7195951277658443,-3.5701746595183965
56,Atlanta_sub00354,-1.1860170899433373,-1.3770853212146845,-0.7043270028833309,-0.8765494766650335,-1.4789328662463161
57,Atlanta_sub00368,-1.4965880218002268,-1.0686211480864019,-1.0877045651507737,-0.9329331468166968,-2.0128319050073946
58,Atlanta_sub06870,-2.480436812416918,-2.007413057334371,-1.2701624864438446,-1.7865642710164467,-1.195257814978572
59,Atlanta_sub07145,-1.1202875894897926,-4.6377406402068235,-1.6071854370510903,-0.8744579298594526,-1.017973040533135
60,Atlanta_sub15817,-1.6418994942097793,-0.8617890322874303,-0.7076779966261333,-1.6966259216829658,-0.7116814126609404
61,Atlanta_sub16563,-0.7764935194438652,-0.9482994497959996,-0.7593591417151127,-0.8781697508606594,-0.7571041671666237
62,Atlanta_sub18219,-1.5560244870253206,-0.8777775275656654,-1.473183459118359,-1.3409832923609466,-0.8142092182749409
63,Atlanta_sub18702,-1.3728179826820222,-0.9467938569054221,-0.7368251983780066,-1.1830229598549566,-0.808382734871736
64,Atlanta_sub24972,-2.287261991936514,-1.1935556194420318,-0.8372219395828295,-2.1762719623626086,-2.043726211327311
65,Atlanta_sub26938,-0.7322334075210353,-0.9191965070875506,-1.5725472613089573,-1.7013489530045065,-1.435665422021682
66,Atlanta_sub32093,-0.7484385937579814,-1.193498154149044,-2.352185199573429,-0.8708456130176792,-1.9143494027221686
67,Atlanta_sub49816,-0.846720550345406,-1.0139523337744412,-0.8627622916247929,-0.8564622585686992,-0.9218172717675869
68,Atlanta_sub52783,-0.7908645504217033,-0.8627603586640982,-0.7754888655591562,-2.2888354946820764,-1.0724651974492097
69,Atlanta_sub53122,-0.8586665906100686,-0.9479978510849292,-1.2397359722934362,-2.032029026077558,-0.9115876742503354
70,Atlanta_sub55652,-1.0535097865252996,-1.3081221848751832,-0.7450862675061107,-2.193661922050261,-1.4786806605330054
71,Atlanta_sub58250,-0.7518446014118381,-1.015909346663287,-1.7162572360578239,-1.0898429117941901,-0.7387018719223559
72,Atlanta_sub59806,-0.8255810682114663,-1.0119367131630357,-1.1717980551424712,-0.9985323582508773,-1.1684865996072182
73,Atlanta_sub60499,-0.7743307804131812,-3.792598626063866,-1.057749297327809,-1.063478834239255,-1.3107206741329802
74,Atlanta_sub61442,-1.0189305384879974,-4.409708182909575,-1.2505048123718068,-2.061354956060513,-2.0869255434066942
75,Atlanta_sub61902,-0.8592800342691953,-0.9646829719036629,-1.0445834906335107,-1.431317818968244,-0.7921189099537495
76,Atlanta_sub71337,-0.7736234446142788,-2.677416214859891,-0.7378843623762669,-0.8104180120386161,-0.9799010428540142
77,Atlanta_sub72096,-2.1160070831445728,-1.0993840692104222,-0.7318868636433349,-0.8933608205612198,-0.7914497272272968
