observations,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
159,Beijing_Zang_sub17688,-0.8400271537387813,-1.7611893743444362,-1.7683066910923468,-1.6240913793999916,-0.8508069625838798
160,Beijing_Zang_sub18326,-1.049499492878928,-0.8457359952813089,-0.8082749210326359,-1.0885850136941462,-0.8121894948613514
161,Beijing_Zang_sub18758,-1.101806202088972,-0.8562826342609915,-1.1869906809288273,-0.9863696193010868,-0.9638481752564136
162,Beijing_Zang_sub18960,-2.1215377917171376,-1.2263828724853865,-0.7418216793106036,-1.43561644785173,-1.5207904217803576
163,Beijing_Zang_sub19642,-2.916626350275376,-1.2046999981067408,-0.6715873337388203,-0.8561634880247458,-1.3047689943629865
165,Beijing_Zang_sub20127,-2.3802305540545845,-1.3202059547897365,-0.6897427531011936,-2.3511162784634254,-1.8655039971685792
166,Beijing_Zang_sub20246,-0.8416532504447506,-0.8582077202309223,-0.6804466279927102,-1.0112267760879305,-1.5127434672269209
167,Beijing_Zang_sub20765,-1.6961516743120444,-0.915908550984652,-0.7969998665207271,-0.8011061999733138,-1.244759424720116
168,Beijing_Zang_sub20948,-1.8558960489974023,-0.9643186731592556,-1.0414815774633854,-2.4971324429713864,-1.2832843283279483
171,Beijing_Zang_sub22595,-0.7997836064317536,-1.4673363080696258,-0.7067287697511848,-1.100649208072616,-2.3401995884250963
172,Beijing_Zang_sub22661,-0.8742802335617331,-0.8808145695667737,-0.6438499482265687,-0.9371413888015122,-1.5812282059420977
173,Beijing_Zang_sub22715,-1.6419439559272793,-2.249351628361465,-2.2561243697633335,-0.8211615586182889,-1.0096322422477602
175,Beijing_Zang_sub26713,-1.0360559294554263,-1.6102012522743476,-0.8118741514427643,-1.0070963172333995,-1.0693196684130475
176,Beijing_Zang_sub28206,-0.8101248586167485,-1.3611211802274075,-0.7103261243628879,-1.197568195431786,-0.907692556743854
177,Beijing_Zang_sub28403,-0.8241161859720912,-5.975347448145096,-1.6553826840299513,-1.1119031135407362,-0.8491394254583902
178,Beijing_Zang_sub28698,-1.1589160104617515,-1.1418288802811458,-0.657941783853342,-1.1000868221419682,-1.632300262592416
180,Beijing_Zang_sub28801,-0.7787617733566186,-0.8292046505266286,-1.1341655614561064,-1.5937347521992518,-1.305851966318173
181,Beijing_Zang_sub28907,-0.841301401603654,-1.7518358044640918,-0.7605324027852992,-0.8166221400636,-1.447718543112808
182,Beijing_Zang_sub28965,-1.049904910682567,-2.3113323936769334,-0.700655716873128,-0.7990347986585347,-0.9980636623786135
184,Beijing_Zang_sub29785,-0.8237640573384156,-3.7276926250863927,-0.8691361647428086,-0.8037135582365206,-0.8317606710091704
